;treatment_id;MC;sampling;species;phylum;cells_ml;mean_BioV;volume;sum;rel
1;Fluctuating_24;9;10;Alexandrium species;Myzoza;0;406,2514514;0;2102345,76;0
2;Fluctuating_24;9;10;Amphidinium crassum;Myzoza;27,76620852;906,6974521;25175,55052;2102345,76;0,011974981
3;Fluctuating_24;9;10;Chaetocerus species;Bacillariophyta;13,88310426;NA;NA;2102345,76;NA
4;Fluctuating_24;9;10;Ciliate indet.;Ciliophora;180,4803554;715,2981959;129097,2726;2102345,76;0,061406299
5;Fluctuating_24;9;10;Coscinodiscus indet.;Bacillariophyta;69,41552131;1037,948339;72049,72507;2102345,76;0,034271111
6;Fluctuating_24;9;10;Cryptomonas indet.;Cryptophyta;430,3762321;157,8915229;67952,75869;2102345,76;0,032322352
7;Fluctuating_24;9;10;Cylendrotheca closterium;Bacillariophyta;180,4803554;280,4420905;50614,28817;2102345,76;0,024075149
8;Fluctuating_24;9;10;Gymnodinium indet.;Myzoza;152,7141469;461,2547662;70440,12813;2102345,76;0,033505492
9;Fluctuating_24;9;10;Hemiselmis indet.;Cryptophyta;819,1031515;57,40959958;47024,38394;2102345,76;0,022367579
10;Fluctuating_24;9;10;Leptocylindricus danicus;Bacillariophyta;680,2721088;1544,292807;1050539,324;2102345,76;0,499698644
11;Fluctuating_24;9;10;Oblea rotunda;Myzoza;13,88310426;8760,556423;121623,7182;2102345,76;0,057851435
12;Fluctuating_24;9;10;Odontella auritia;Bacillariophyta;0;21960;0;2102345,76;0
13;Fluctuating_24;9;10;Peridiniella danica;Myzoza;13,88310426;8760,556423;121623,7182;2102345,76;0,057851435
14;Fluctuating_24;9;10;Phaeocystis indet.;Haptophyta;1318,894905;7,213491369;9513,837014;2102345,76;0,004525344
15;Fluctuating_24;9;10;Pinnularia indet.;Bacillariophyta;0;14244,57697;0;2102345,76;0
16;Fluctuating_24;9;10;Prorocentrum micans;Myzoza;0;17295,82289;0;2102345,76;0
17;Fluctuating_24;9;10;Prorocentrum minimum;Myzoza;83,29862557;2741,386476;228353,7256;2102345,76;0,108618539
18;Fluctuating_24;9;10;Prorocentrum triestinum;Myzoza;0;2504,725507;0;2102345,76;0
19;Fluctuating_24;9;10;Rhizosolemia indet.;Bacillariophyta;0;NA;NA;2102345,76;NA
20;Fluctuating_24;9;10;Rhodomonas indet.;Cryptophyta;124,9479384;41,20012226;5147,870338;2102345,76;0,002448632
21;Fluctuating_24;9;10;Thalassiosira indet.;Bacillariophyta;69,41552131;1486,547343;103189,4588;2102345,76;0,04908301
22;Fluctuating_36;2;10;Alexandrium species;Myzoza;74,96876302;406,2514514;30456,16879;3992077,226;0,007629153
23;Fluctuating_36;2;10;Amphidinium crassum;Myzoza;24,98958767;906,6974521;22657,99547;3992077,226;0,005675741
24;Fluctuating_36;2;10;Chaetocerus species;Bacillariophyta;0;NA;NA;3992077,226;NA
25;Fluctuating_36;2;10;Ciliate indet.;Ciliophora;33,31945023;715,2981959;23833,34264;3992077,226;0,005970161
26;Fluctuating_36;2;10;Coscinodiscus indet.;Bacillariophyta;58,3090379;1037,948339;60521,76906;3992077,226;0,015160471
27;Fluctuating_36;2;10;Cryptomonas indet.;Cryptophyta;458,1424406;157,8915229;72336,80763;3992077,226;0,018120092
28;Fluctuating_36;2;10;Cylendrotheca closterium;Bacillariophyta;108,2882132;280,4420905;30368,57289;3992077,226;0,007607211
29;Fluctuating_36;2;10;Gymnodinium indet.;Myzoza;233,2361516;461,2547662;107581,2866;3992077,226;0,026948699
30;Fluctuating_36;2;10;Hemiselmis indet.;Cryptophyta;233,2361516;57,40959958;13389,99407;3992077,226;0,003354142
31;Fluctuating_36;2;10;Leptocylindricus danicus;Bacillariophyta;1999,167014;1544,292807;3087299,24;3992077,226;0,773356592
32;Fluctuating_36;2;10;Oblea rotunda;Myzoza;16,65972511;8760,556423;145948,4618;3992077,226;0,036559529
33;Fluctuating_36;2;10;Odontella auritia;Bacillariophyta;0;21960;0;3992077,226;0
34;Fluctuating_36;2;10;Peridiniella danica;Myzoza;8,329862557;8760,556423;72974,23092;3992077,226;0,018279764
35;Fluctuating_36;2;10;Phaeocystis indet.;Haptophyta;944,0510898;7,213491369;6809,904388;3992077,226;0,001705855
36;Fluctuating_36;2;10;Pinnularia indet.;Bacillariophyta;0;14244,57697;0;3992077,226;0
37;Fluctuating_36;2;10;Prorocentrum micans;Myzoza;0;17295,82289;0;3992077,226;0
38;Fluctuating_36;2;10;Prorocentrum minimum;Myzoza;91,62848813;2741,386476;251189,0981;3992077,226;0,062921904
39;Fluctuating_36;2;10;Prorocentrum triestinum;Myzoza;24,98958767;2504,725507;62592,05764;3992077,226;0,01567907
40;Fluctuating_36;2;10;Rhizosolemia indet.;Bacillariophyta;0;NA;NA;3992077,226;NA
41;Fluctuating_36;2;10;Rhodomonas indet.;Cryptophyta;99,95835069;41,20012226;4118,296269;3992077,226;0,001031617
42;Fluctuating_36;2;10;Thalassiosira indet.;Bacillariophyta;0;1486,547343;0;3992077,226;0
43;Fluctuating_48;6;10;Alexandrium species;Myzoza;0;406,2514514;0;1228037,327;0
44;Fluctuating_48;6;10;Amphidinium crassum;Myzoza;24,98958767;906,6974521;22657,99547;1228037,327;0,018450576
45;Fluctuating_48;6;10;Chaetocerus species;Bacillariophyta;0;NA;NA;1228037,327;NA
46;Fluctuating_48;6;10;Ciliate indet.;Ciliophora;24,98958767;715,2981959;17875,00698;1228037,327;0,014555752
47;Fluctuating_48;6;10;Coscinodiscus indet.;Bacillariophyta;58,3090379;1037,948339;60521,76906;1228037,327;0,04928333
48;Fluctuating_48;6;10;Cryptomonas indet.;Cryptophyta;299,8750521;157,8915229;47347,72864;1228037,327;0,03855561
49;Fluctuating_48;6;10;Cylendrotheca closterium;Bacillariophyta;49,97917534;280,4420905;14016,26441;1228037,327;0,011413549
50;Fluctuating_48;6;10;Gymnodinium indet.;Myzoza;166,5972511;461,2547662;76843,77611;1228037,327;0,062574463
51;Fluctuating_48;6;10;Hemiselmis indet.;Cryptophyta;416,4931279;57,40959958;23910,7037;1228037,327;0,019470665
52;Fluctuating_48;6;10;Leptocylindricus danicus;Bacillariophyta;258,2257393;1544,292807;398776,1518;1228037,327;0,324726409
53;Fluctuating_48;6;10;Oblea rotunda;Myzoza;24,98958767;8760,556423;218922,6928;1228037,327;0,17827039
54;Fluctuating_48;6;10;Odontella auritia;Bacillariophyta;0;21960;0;1228037,327;0
55;Fluctuating_48;6;10;Peridiniella danica;Myzoza;16,65972511;8760,556423;145948,4618;1228037,327;0,118846926
56;Fluctuating_48;6;10;Phaeocystis indet.;Haptophyta;832,9862557;7,213491369;6008,739166;1228037,327;0,004892961
57;Fluctuating_48;6;10;Pinnularia indet.;Bacillariophyta;0;14244,57697;0;1228037,327;0
58;Fluctuating_48;6;10;Prorocentrum micans;Myzoza;0;17295,82289;0;1228037,327;0
59;Fluctuating_48;6;10;Prorocentrum minimum;Myzoza;0;2741,386476;0;1228037,327;0
60;Fluctuating_48;6;10;Prorocentrum triestinum;Myzoza;58,3090379;2504,725507;146048,1345;1228037,327;0,118928091
61;Fluctuating_48;6;10;Rhizosolemia indet.;Bacillariophyta;0;NA;NA;1228037,327;NA
62;Fluctuating_48;6;10;Rhodomonas indet.;Cryptophyta;291,5451895;41,20012226;12011,69745;1228037,327;0,009781215
63;Fluctuating_48;6;10;Thalassiosira indet.;Bacillariophyta;24,98958767;1486,547343;37148,20516;1228037,327;0,030250062
64;control;4;10;Alexandrium species;Myzoza;0;406,2514514;0;4584800,484;0
65;control;4;10;Amphidinium crassum;Myzoza;41,64931279;906,6974521;37763,32579;4584800,484;0,008236634
66;control;4;10;Chaetocerus species;Bacillariophyta;0;NA;NA;4584800,484;NA
67;control;4;10;Ciliate indet.;Ciliophora;83,29862557;715,2981959;59583,35659;4584800,484;0,012995845
68;control;4;10;Coscinodiscus indet.;Bacillariophyta;62,47396918;1037,948339;64844,75256;4584800,484;0,014143419
69;control;4;10;Cryptomonas indet.;Cryptophyta;1249,479384;157,8915229;197282,2027;4584800,484;0,043029616
70;control;4;10;Cylendrotheca closterium;Bacillariophyta;166,5972511;280,4420905;46720,88137;4584800,484;0,010190385
71;control;4;10;Gymnodinium indet.;Myzoza;62,47396918;461,2547662;28816,41605;4584800,484;0,006285206
72;control;4;10;Hemiselmis indet.;Cryptophyta;499,7917534;57,40959958;28692,84444;4584800,484;0,006258254
73;control;4;10;Leptocylindricus danicus;Bacillariophyta;1999,167014;1544,292807;3087299,24;4584800,484;0,67337701
74;control;4;10;Oblea rotunda;Myzoza;62,47396918;8760,556423;547306,7319;4584800,484;0,119374166
75;control;4;10;Odontella auritia;Bacillariophyta;0;21960;0;4584800,484;0
76;control;4;10;Peridiniella danica;Myzoza;20,82465639;8760,556423;182435,5773;4584800,484;0,039791389
77;control;4;10;Phaeocystis indet.;Haptophyta;1811,745106;7,213491369;13069,00768;4584800,484;0,002850507
78;control;4;10;Pinnularia indet.;Bacillariophyta;0;14244,57697;0;4584800,484;0
79;control;4;10;Prorocentrum micans;Myzoza;0;17295,82289;0;4584800,484;0
80;control;4;10;Prorocentrum minimum;Myzoza;83,29862557;2741,386476;228353,7256;4584800,484;0,049806688
81;control;4;10;Prorocentrum triestinum;Myzoza;0;2504,725507;0;4584800,484;0
82;control;4;10;Rhizosolemia indet.;Bacillariophyta;0;NA;NA;4584800,484;NA
83;control;4;10;Rhodomonas indet.;Cryptophyta;1520,199917;41,20012226;62632,42243;4584800,484;0,013660883
84;control;4;10;Thalassiosira indet.;Bacillariophyta;0;1486,547343;0;4584800,484;0
